node_id,x_mm,y_mm,z_mm,rho
290,-6.51514419,-0.45,-2.762104636,0.80648
291,-5.915803105,0.1,-2.752297656,0.861
292,-7.487880738,0.1,-2.639605817,0.64066
293,-8.75,0.1,-4.0,0.46836
294,-8.0,-0.45,-4.0,0.71862
295,-8.75,-0.45,-4.0,0.52083
296,-7.26514419,-0.45,-2.762104636,0.69471
297,-8.607373814,-0.45,-2.7733835449999997,0.47319
298,-8.237880738,0.1,-2.639605817,0.52889
299,-10.25,0.1,-3.25,0.15809
300,-10.25,-0.45,-4.0,0.19907
301,-10.25,-0.45,-3.25,0.16116
302,-9.5,-0.45,-4.0,0.30677
303,-9.357373813999999,-0.45,-2.7733835449999997,0.25913
304,-8.987880738,0.1,-2.639605817,0.31483
305,-11.0,0.1,1.25,0.0058409
306,-11.75,0.1,2.0,1.2411e-05
307,-11.0,-0.45,2.0,6.8474e-05
308,-11.75,-0.45,2.0,1.2411e-05
309,-9.650411542,-0.45,1.769039879,0.08563
310,-9.47162191,0.1,1.8198017450000001,0.13817
311,-11.686452110000001,0.1,2.900725815,0.0024835
312,-10.2196511,0.1,3.059627233,0.034089
313,-11.0,0.1,-1.75,0.033142
314,-11.0,-0.45,-2.5,0.064956
315,-11.0,-0.45,-1.75,0.031425
316,-10.10737381,-0.45,-2.023383545,0.16293
317,-9.737880738000001,0.1,-1.8896058169999999,0.21862
318,-11.0,0.1,-0.25,0.0080291
319,-11.0,-0.45,-1.0,0.0026843
320,-11.0,-0.45,-0.25,0.0022007
321,-10.10737381,-0.45,-1.2733835450000002,0.13419
322,-9.737880738000001,0.1,-1.1396058169999999,0.18988
323,-11.0,-0.45,1.25,0.0058845
324,-11.0,-0.45,0.5,0.0058284
325,-9.650411542,-0.45,1.019039879,0.091446
326,-10.10737381,-0.45,-0.5233835447,0.13782
327,-9.47162191,0.1,1.0698017450000001,0.14399
328,-9.737880738000001,0.1,-0.3896058169,0.19351
329,-16.25,0.1,2.0,0.0
330,-17.0,0.1,2.9,0.01857
331,-17.0,-0.45,2.0,0.0
332,-17.0,-0.45,2.9,0.013196
333,-13.25,0.1,2.0,0.0
334,-12.5,-0.45,2.0,0.0
