Node Number	Topology Density ( )
632	0.17558
633	6.8368e-002
634	0.49015
635	0.17097
636	0.30609
637	0.26346
638	0.77931
639	0.51806
640	0.73604
641	0.47543
642	0.82244
643	0.59525
644	0.81324
645	3.554e-007
646	0.
647	0.10541
648	0.12274
649	0.12319
650	9.1086e-004
651	0.10541
652	0.167
653	0.12437
654	7.5433e-003
655	3.279e-002
656	0.16791
657	0.12528
658	0.19888
659	0.15625
660	0.
661	2.0394e-002
662	0.
663	2.0394e-002
664	0.12319
665	0.
666	0.12319
667	0.12319
668	0.98426
669	1.
670	1.
671	0.86384
672	0.98426
673	0.89098
674	0.87463
675	0.98426
676	0.57312
677	0.78631
678	0.76996
679	0.21393
680	0.31672
681	0.60026
682	0.58391
683	0.14358
684	1.
685	0.9742
686	1.
687	0.9742
688	0.89967
689	0.99516
690	0.89967
691	0.90001
692	0.99516
693	0.89484
694	0.87645
695	0.89518
696	1.
697	0.90639
698	0.88129
699	0.95142
700	1.
701	0.90639
702	0.95142
703	1.
704	0.90639
705	0.95371
706	1.
707	0.95371
708	1.
709	1.
710	0.95371
711	1.
712	1.
713	1.
714	1.
715	1.
716	0.9476
717	0.97376
718	1.
719	0.9476
720	0.94642
721	0.97376
722	0.93974
723	1.
724	0.94642
725	0.93974
726	1.
727	0.89712
728	0.94642
729	1.
730	0.89712
731	1.
732	0.89712
733	0.89625
734	1.
735	0.89625
736	0.90672
737	0.90672
738	1.
739	0.11941
740	1.6801e-002
741	0.13737
742	2.7944e-002
743	0.41545
744	0.23039
745	0.12096
746	0.78343
747	0.7089
748	0.4334
749	0.87388
750	1.
751	1.
752	1.
753	1.
754	1.
755	1.
756	1.
757	1.
758	1.
759	1.
760	1.
761	1.
762	1.
763	1.
764	1.
765	1.
766	1.
767	1.
768	1.
769	1.
770	1.
771	1.
772	1.
773	0.75322
774	0.93266
775	0.92825
776	0.88637
777	0.90546
778	0.66906
779	0.81492
780	0.8694
781	0.62935
782	0.93092
783	0.9231
784	0.81581
785	0.7624
786	0.47363
787	0.8638
788	0.86376
789	0.59223
790	0.82186
791	0.57599
792	0.64467
793	0.84266
794	0.99675
795	0.97636
796	0.99978
797	0.99978
798	0.99978
799	0.9895
800	0.97355
801	0.99251
802	0.96976
803	0.99697
804	0.99692
805	0.99543
806	0.98668
807	0.98741
808	0.79714
809	0.67406
810	0.79335
811	0.40617
812	0.55696
813	0.45872
814	0.72858
815	0.70282
816	0.51724
817	0.79336
818	0.51986
819	0.62113
820	0.84353
821	0.76753
822	0.8601
823	0.51579
824	0.78768
825	0.6428
826	0.84793
827	0.85781
828	0.68355
829	0.25297
830	0.14718
831	0.54325
832	0.26775
833	0.52486
834	0.33281
835	0.2849
836	0.54359
837	0.14605
838	0.9476
839	0.99558
840	0.95371
841	0.97376
842	1.
843	0.93673
844	0.99826
845	0.83008
846	0.94938
847	0.8846
848	0.9663
849	0.85884
850	0.51899
851	0.51943
852	0.80297
853	0.76666
854	0.75937
855	0.78662
856	0.94318
857	0.67161
858	0.89401
859	0.90124
860	0.92136
861	0.72405
862	0.88734
863	0.49959
864	0.88973
865	0.56118
866	0.89414
867	0.60195
868	0.77917
869	0.86863
870	0.89395
871	0.43912
872	0.48548
873	0.49166
874	0.76152
875	0.54118
876	0.22815
877	0.2724
878	0.32942
879	0.31318
880	0.38186
881	0.18301
882	0.11295
883	0.99113
884	0.96838
885	0.94923
886	0.96934
887	0.99384
888	0.98602
889	1.
890	1.
891	0.99996
892	1.
893	0.69011
894	0.89525
895	0.95371
896	0.89044
897	0.34675
898	0.24593
899	0.49315
900	0.48587
901	0.20034
902	0.21933
903	0.96834
904	0.9955
905	0.94919
906	0.99401
907	0.96999
908	0.98598
909	0.37477
910	0.55198
911	0.29137
912	0.17454
913	0.96251
914	0.85506
915	0.96324
916	0.19501
917	0.113
918	0.49068
919	0.3458
920	0.24756
921	0.29863
922	0.11187
923	0.14347
924	0.30608
925	0.38656
926	0.2176
927	0.32202
928	0.22378
929	0.2733
930	0.11969
931	0.67043
932	0.59442
933	0.50047
934	0.30161
935	0.66376
936	1.
937	1.
938	1.
939	0.31967
940	0.12778
941	0.14493
942	6.0766e-003
943	1.8354e-002
944	0.52385
945	0.78096
946	0.541
947	0.79969
948	0.52991
949	0.48632
950	0.21978
951	0.51356
952	0.2655
953	0.13892
954	0.81683
955	0.88616
956	0.57052
957	0.7813
958	0.8327
959	0.65845
960	0.37456
961	0.67794
962	0.67314
963	0.43309
964	0.51356
965	0.99996
966	0.99847
967	0.7971
968	0.90672
969	0.99842
970	0.9744
971	0.99973
972	0.66141
973	0.95211
974	0.9274
975	0.7301
976	0.92809
977	0.95191
978	0.94408
979	0.54618
980	0.52042
981	0.32584
982	0.17224
983	0.33485
984	0.73354
985	0.64686
986	0.44801
987	0.81015
988	0.33056
989	0.58925
990	0.19171
991	0.64065
992	0.22331
993	0.4664
994	0.94154
995	0.89296
996	0.87827
997	0.63822
998	0.7187
999	0.48422
1000	0.28537
1001	0.59276
1002	0.33214
1003	0.68221
1004	0.21531
1005	0.44073
1006	0.45972
1007	0.7535
1008	0.89774
1009	0.79028
1010	0.5957
1011	0.98819
1012	0.97291
1013	0.99824
1014	0.98891
1015	0.75021
1016	0.97376
1017	0.9135
1018	0.97202
1019	0.35405
1020	0.7162
1021	0.87198
1022	0.98016
1023	0.93673
1024	0.99826
1025	0.81899
1026	0.57895
1027	0.8727
1028	0.17419
1029	8.5143e-002
1030	0.54134
